name,name2,streetNumber,street,zip,city,region,country,lat,lng
Selarl Dr Petrea Adina Esthetique,,272,Avenue Marc Jacquet,77000,Melun,Seine-et-Marne,France,48.556774,2.641812
Dr Geneau Amandine,,31,Rue Gambetta,77100,Meaux,Seine-et-Marne,France,48.962322,2.884938
Dr Marchetti Roberta,,3,Place de l'Eglise,77127,Lieusaint,Seine-et-Marne,France,48.632229,2.552155
Centre Esthetique et Laser,Dr Penna,28,Rue du Marechal Joffre,78100,Saint-Germain-en-Laye,Yvelines,France,48.895492,2.087717
Dr Cousin Testard Florence,Fond de la Cour Bat B,26,Avenue d'Epremesnil,78400,Chatou,Yvelines,France,48.886081,2.157489
Dr Barbillon Claude,,1,Rue Charles Bourseul,78700,Conflans-Sainte-Honorine,Yvelines,France,48.999180,2.103912
Dr Poinsteau Valerie,Cabinet Medical,189,Avenue de la Rochelle,79000,Niort,Charente-Maritime,France,46.316691,-0.472124
Dr Beguin Laetitia,Le Tanin,34,Avenue d' Allemagne,80090,Amiens,Somme,France,49.870742,2.284476
Dr Lesieur Gilles,Centre Iridis,32,Place Jean Jaures,81000,Albi,Tarn,France,43.924411,2.147515
Dr Dorothée Charbonnier,,2,Rue Ferdinand Pelloutier,83000,Toulon,Var,France,43.123399,5.933372
Dr Favoli Patrice,,165,Place de la Liberte,83000,Toulon,Var,France,43.126396,5.930755
Dr Sarfati Eric,Grand Hotel,165,Place de la Liberte,83000,Toulon,Var,France,43.126396,5.930755
Dr Mariha Leblond Belbachir,Centre Hebel,586,Avenue du Colonel Picot,83100,Toulon,Var,France,43.127522,5.963177
Dr Bourniquel Marie,Cabinet d'Ophtalmologie,95,Chemin des 2 Freres,83190,Oullioules,Var,France,43.126627,5.853699
Dr Geldof Céline,,893,Av du Maréchal Juin,83270,Saint Cyr sur Mer,Var,France,43.181302,5.698133
Dr Lienard Wivine,Residence le Lys,113,Boulevard Martyrs de la Resista,83300,Draguignan,Var,France,43.533758,6.466395
Dr Dousteyssier-Smarrito Laure,Cabinet Medical,8,Place Charles de Gaulle,83330,Le Beausset,Var,France,43.197109,5.802026
Dr Ducloy Cedric,,365,Rue Pierre Seghers,84000,Avignon,Vaucluse,France,43.926658,4.838475
Dr Verborg Ingrid,Maison Médicale de Mérindol,193A,Rue Ceux de Dien Bien Phu,84160,Cadenet,Vaucluse,France,43.728810,5.370446
Dr Henon Paule Reine,,225,Cours Gambetta,84300,Cavaillon,Vaucluse,France,43.838252,5.038676
Dr Isabelle Mounier,Centre Medical Esthétique Sablais,5,Rue des Abeilles,85100,Les Sables d'Olonnes,Vendee,France,46.497072,-1.784663
Dr Van Hemelryck Thierry,Selarl Ouest Esthetique,1,Rue de la Maisonnette,85100,Les-Sables-d'Olonne,Vendee,France,46.499240,-1.778550
Claame,Dr Chivilo,62,Avenue du Plateau des Glieres,86000,Poitiers,Vienne,France,46.601349,0.324596
B.a.n.c. Dr Lavillenie,,2,Avenue des Fontaines,86270,La Roche Posay,Vienne,France,46.784395,0.811146
Dr Doffoel-Hantz Valerie,Selarl Dermatolim Clinique Chenieux,18,Rue du General Catroux,87039,Limoges,Vienne (Haute),France,45.813524,1.283772
Dr Longueville Claire,Selarl Dermatolim Clinique Chenieux,18,Rue du General Catroux,87039,Limoges,Vienne (Haute),France,45.813524,1.283772
Skin Aesthetics 87,Dr Durieux Sebastien,223,Avenue de Landouge,87100,Limoges,Vienne (Haute),France,45.843250,1.192997
Dr Bourrel Olivier,Residence Saint Pierre Fourier,33,Rue de la Prefecture,88000,Epinal,Vosges,France,48.169975,6.449980
Dr Saute Serge,,3,Rue des Marmousets,89290,Venoy,Yonne,France,47.806031,3.637395
Dr Barrie Laurence,Code Entrée 3945,4,Avenue Marechal Juin,91330,Yerres,Essonne,France,48.710795,2.486817
Dr Boumedine Fadia,,34,Rue Marcel Bontemps,92100,Boulogne Billancourt,Hauts-de-Seine,France,48.826366,2.240224
Dr Burin des Rosiers Bruno,,240,Boulevard Jean Jaures,92100,Boulogne-Billancourt,Hauts-de-Seine,France,48.829790,2.245554
Le Centre,,55,Boulevard Jean Jaures,92100,Boulogne Billancourt,Hauts-de-Seine,France,48.840114,2.239957
Dr Arfi Catherine,Cabinet Medical Code Porte B4587,58,Boulevard Gallieni,92130,Issy les Moulineaux,Hauts-de-Seine,France,48.828659,2.267377
Dr Lagrange Giordano-Orsini Nicole,Cabinet Medical Code 462a,126,Avenue de Verdun,92130,Issy-les-Moulineaux,Hauts-de-Seine,France,48.820274,2.258064
Centre Medical Paris Saint Honore,,5,Rue Gardenat Lapostol,92150,Suresnes,Hauts-de-Seine,France,48.873989,2.224507
Clem Esthetique Medical,Drs Hosana S. et D. et Saul Leon,23,Rue des Bourets,92150,Suresnes,Hauts-de-Seine,France,48.868557,2.227128
Centre Elase Neuilly,Dr Assous Julie,93,Avenue du Roule,92200,Neuilly sur Seine,Hauts-de-Seine,France,48.882586,2.277086
Dr Chanel Laura,,75,Avenue Foch,92250,La Garenne Colombes,Hauts-de-Seine,France,48.907723,2.240567
Dr Alakl May,Bt d - Code 5147 Rdc,91,Avenue du General Leclerc,92340,Bourg-la-Reine,Hauts-de-Seine,France,48.780344,2.315854
Dr Awwad Alyae,,44,Rue du Bac,92600,Asnières sur Seine,Hauts-de-Seine,France,48.913294,2.278653
Dr Stella Francesca,,14,Rue Pasteur,92600,Asnieres sur Seine,Hauts-de-Seine,France,48.905918,2.284417
Selas du Dr Jiang Lei Laurent,,36,Rue de Prony,92600,Asnieres sur Seine,Hauts-de-Seine,France,48.913804,2.293916
Dr Mezzoughi Sara,,145,Boulevard de Valmy,92700,Colombes,Hauts-de-Seine,France,48.931998,2.255041
Dr Salines Jessica,,13,Mail Gabriel Peri,93150,Le Blanc Mesnil,Seine-Saint-Denis,France,48.938526,2.461642
Dr Alloun Gabriel,,14,Rue Raymonde Salez,93260,Les Lilas,Seine-Saint-Denis,France,48.879375,2.417319
Dr Messaoudi-Hadri Houria,Centre Medical,11,Place Gabriel Peri,93440,Dugny,Seine-Saint-Denis,France,48.954890,2.417628
Dr Renard Delphine,Cabinet Medical,32,Rue Saint Hilaire,94210,Saint Maur des Fosses,Val-de-Marne,France,48.791042,2.512727
Dr Majer Jacques,Orl Selarl,21,Avenue de Paris,94300,Vincennes,Val-de-Marne,France,48.845089,2.432065
Dr Micallef Christelle,,16,Rue du Chemin Dupuis,95000,Cergy,Val-d'Oise,France,49.036037,2.073817
Dr Mateo Delamarre Maryse,,29 BIS,Rue Alexande Prachay,95309,Pontoise,Val-d'Oise,France,49.049785,2.099543
Dr Delot-El Fakhri Nada,Cabinet Medical,30,Boulevard d'Ormesson,95880,Enghien les Bains,Val-d'Oise,France,48.968833,2.309572
Centre Medico-Esthé la Louisiane,Dr Caillot Françoise,9,Allée de la Louisiane,97200,Fort de France,MQ/Not assigned,France,14.624906,-61.077579
